【換気】,【001換気】
"給湯設備の方式
・ガス瞬間式給湯器：加熱速度が○○い。瞬○○式が多い。
・ピートポンプ給湯器：加熱速度が○○い。貯○○式が多い。","給湯設備の方式
・ガス瞬間式給湯器：加熱速度が速い。瞬間式が多い。
・ピートポンプ給湯器：加熱速度が遅い。貯湯式が多い。"
"ハイブリッド給湯システム：
・ベ○○負荷：ヒ○○給湯器
・ベース負荷を超える場合：燃○○式加熱器","ハイブリッド給湯システム：
・ベース負荷：ヒートポンプ給湯器
・ベース負荷を超える場合：燃焼式加熱器"
"潜熱回収型ガス給湯器：
・排気ガスも二次熱交換に利用することで、熱○○効率が高い。
・凝集ドレンの○○性を中○○する装置が必要","潜熱回収型ガス給湯器：
・排気ガスも二次熱交換に利用することで、熱利用効率が高い。
・凝集ドレンの酸性を中和する装置が必要"
"給湯器の能力指標「号」
・1Lの水の温度を1分間に25℃上昇させる能力が1号。","給湯器の能力指標「号」
・1Lの水の温度を1分間に25℃上昇させる能力が1号。"
"レジオネラ菌の繁殖の防止
・25℃で増殖が始まる、35℃で菌にとって最適。
・60℃以上で死滅する。","レジオネラ菌の繁殖の防止
・25℃で増殖が始まる、35℃で菌にとって最適。
・60℃以上で死滅する。"
"給水、給湯配管の方式
・在来方式
・さや管ヘッダー方式","給水、給湯配管の方式
・在来方式
・さや管ヘッダー方式"
"埋設配管の埋設深さ（排水設備も同じ。電気配管は異なる）
・一般：30cm以下
・車両通行部：60cm以下
・重量車両通行部：120cm以下
・寒冷地：凍結深度より深く",
"蒸気配管の勾配
・先下がり配管：勾配1/250
・先上がり配管：勾配1/80","蒸気配管の勾配
・先下がり配管：勾配1/250
・先上がり配管：勾配1/80"
"衛生器具
・大便器の種類と特徴※書く","衛生器具
・大便器の種類と特徴※書く"
■ガス,■ガス
"都市ガス（LNG：液化天然ガス）は、
プロパンガス（LPG：液化石油ガス）に比べて、
・比重が小さい
・1m3当たりの発熱量が小さい
・単位発熱量当たりのCO2排出量が小さい","都市ガス（LNG：液化天然ガス）は、
プロパンガス（LPG：液化石油ガス）に比べて、
・比重が小さい
・1m3当たりの発熱量が小さい
・単位発熱量当たりのCO2排出量が小さい"
【給排水衛生設備②排水、通気設備】,【給排水衛生設備②排水、通気設備】
"■排水設備の注意点
・間接排水
・排水層、汚水槽の勾配
・二重トラップ","■排水設備の注意点
・間接排水
・排水層、汚水槽の勾配
・二重トラップ"
"建築物内の排水方式
・合流式：汚水、雑排水が一緒の下水道
・分流式：汚水と雑排水が別々の下水道
※建築物内では、雨水は必ず単独排水。雨水は変動が大きく他の管に悪影響を及ぼすから。","建築物内の排水方式
・合流式：汚水、雑排水が一緒の下水道
・分流式：汚水と雑排水が別々の下水道
※建築物内では、雨水は必ず単独排水。雨水は変動が大きく他の管に悪影響を及ぼすから。"
"排水管の勾配
・管径65以下：最小1/50
・管径75,100以下：最小1/100
・管径125以下：最小1/150
・管径150以上：最小1/200
※勾配は、急すぎてもNG（水だけ先に流れ、汚物が残ってしまうため）",
"下水道の排水方式
・合流式：汚水、雨水が一緒の下水道
・分流式：汚水と雨水が別々の下水道","下水道の排水方式
・合流式：汚水、雨水が一緒の下水道
・分流式：汚水と雨水が別々の下水道"
"公共下水道へ排水時のポイント
・排水水質：基準値以下
・排水温度：45度以下
・","公共下水道へ排水時のポイント
・排水水質：基準値以下
・排水温度：45度以下
・"
"ディスポーザー排水処理システム
・ディスポーザー（シンク）、専用排水配管、排水処理装置、で構成。
・下水道に放流する際、排水中のBOD（生物化学的酸素要求量）などを基準値以下にする。","ディスポーザー排水処理システム
・ディスポーザー（シンク）、専用排水配管、排水処理装置、で構成。
・下水道に放流する際、排水中のBOD（生物化学的酸素要求量）などを基準値以下にする。"
"排水槽のポイント
・底部には釜場を設ける
・底部の勾配は、1/15以上1/10以下の下がり勾配をつける。（角度つけすぎると転んで危険なのでNG）
・保守点検ができる位置に有効内径60cmの防臭密閉型マンホールを設ける。
・排水槽通気管は単独とする。他の通気管と合流させてはいけない。","排水槽のポイント
・底部には釜場を設ける
・底部の勾配は、1/15以上1/10以下の下がり勾配をつける。（角度つけすぎると転んで危険なのでNG）
・保守点検ができる位置に有効内径60cmの防臭密閉型マンホールを設ける。
・排水槽通気管は単独とする。他の通気管と合流させてはいけない。"
"埋設配管・桝の配置基準
・埋設配管深さ：（給水設備も同じ。電気配管は異なる）
一般：30cm以下
車両通行部：60cm以下
重量車両通行部：120cm以下
寒冷地：凍結深度より深く
・建屋からの排水管合流部分には、桝が必要。
・雨水排水管を排水管に連結する場合は、排水トラップを設ける。
・埋設配管の曲がり角部はには、桝が必要
・埋設配管の最長桝間距離は配管径の120倍で、桝の設置が必要。","埋設配管・桝の配置基準
・埋設配管深さ：（給水設備も同じ。電気配管は異なる）
一般：30cm以下
車両通行部：60cm以下
重量車両通行部：120cm以下
寒冷地：凍結深度より深く
・建屋からの排水管合流部分には、桝が必要。
・雨水排水管を排水管に連結する場合は、排水トラップを設ける。
・埋設配管の曲がり角部はには、桝が必要
・埋設配管の最長桝間距離は配管径の120倍で、桝の設置が必要。"
"・グリース阻集器（グリストラップ）：厨房
・オイル阻集器（ガソリントラップ）：ガソリンスタンド","・グリース阻集器（グリストラップ）：厨房
・オイル阻集器（ガソリントラップ）：ガソリンスタンド"
"雨水排水管径の算定用基準雨量
・通常は、過去最大雨量の1時間値を用いる。
・最大雨量の10分間値を用いる場合もある。ゲリラ豪雨なども考慮する場合。雨水管径は大きめになる。","雨水排水管径の算定用基準雨量
・通常は、過去最大雨量の1時間値を用いる。
・最大雨量の10分間値を用いる場合もある。ゲリラ豪雨なども考慮する場合。雨水管径は大きめになる。"
"サイホン式雨水排水システム：
・特殊なルーフドレン形状を利用。
・サイホン現象を起こし、排水時に管内を満水状態で排水できる。
・通常の雨水配管より管径を小さくできる。","サイホン式雨水排水システム：
・特殊なルーフドレン形状を利用。
・サイホン現象を起こし、排水時に管内を満水状態で排水できる。
・通常の雨水配管より管径を小さくできる。"
"排水再利用のポイント
・排水再利用の原水：洗面、手洗い、厨房、風呂等の雑排水、および、便所洗浄排水などの汚水。
・ただし、し尿を含む汚水を原水とする場合は、再利用先は便所洗浄水のみとなる。","排水再利用のポイント
・排水再利用の原水：洗面、手洗い、厨房、風呂等の雑排水、および、便所洗浄排水などの汚水。
・ただし、し尿を含む汚水を原水とする場合は、再利用先は便所洗浄水のみとなる。"
"通気設備の方式
・ループ通気方式：主流。
・各個通気方式
・伸頂通気方式
・特殊継手排水方式：あまりない","通気設備の方式
・ループ通気方式：主流。
・各個通気方式
・伸頂通気方式
・特殊継手排水方式：あまりない"
"通気のポイント
・通気管の取出し：排水横管の頂部から45°以内に取り出す
・通気枝管の通気竪管への接続：あふれ縁より150mm以上で通気竪管に接続
・伸頂通気管は、排水竪管と同径以上とする。
・通気竪管の開放の位置：
窓、換気口などから、高さ600mm以上、横方向3000mm以上離す
屋上等が利用されてる場合は、屋上面から高さ2000mm以上離す
防虫・防鳥網を設置する。","通気のポイント
・通気管の取出し：排水横管の頂部から45°以内に取り出す
・通気枝管の通気竪管への接続：あふれ縁より150mm以上で通気竪管に接続
・伸頂通気管は、排水竪管と同径以上とする。
・通気竪管の開放の位置：
窓、換気口などから、高さ600mm以上、横方向3000mm以上離す
屋上等が利用されてる場合は、屋上面から高さ2000mm以上離す
防虫・防鳥網を設置する。"
【電気設備①電圧、電源、配線】,【電気設備①電圧、電源、配線】
"オームの法則
・V=IxR","オームの法則
・V=IxR"
"電圧と契約電力容量の種別
・低圧：直流750V以下、交流600V以下、50kW未満
・高圧：直流交流共に7000V以下、2000kW未満
・特別高圧：直流交流共に 7000V超、2000kW以上","電圧と契約電力容量の種別
・低圧：直流750V以下、交流600V以下、50kW未満
・高圧：直流交流共に7000V以下、2000kW未満
・特別高圧：直流交流共に 7000V超、2000kW以上"
"需要率：
・需要率=最大需要電力/負荷設備容量
・需要率は、必ず1以下になる。
・負荷設備容量：すべての電気を使う設備の電気容量
・最大需要電力：同時に使う設備の電気容量","需要率：
・需要率=最大需要電力/負荷設備容量
・需要率は、必ず1以下になる。
・負荷設備容量：すべての電気を使う設備の電気容量
・最大需要電力：同時に使う設備の電気容量"
"負荷率：
・負荷率=ある期間中の平均需要電力/その期間の最大需要電力
・負荷率は必ず1以下になる。
・負荷率が高い場合は、設備をムダ無く効率的に運用していることを示す。","負荷率：
・負荷率=ある期間中の平均需要電力/その期間の最大需要電力
・負荷率は必ず1以下になる。
・負荷率が高い場合は、設備をムダ無く効率的に運用していることを示す。"
"不等率：
・不等率=個々の需要家の最大需要電力の合計/合成した合成需要電力
・不等率は、必ず1以上になる。
・系統内での、負荷の偏りを示す。値が大きいと効率的に電気が使えてる。（設備容量が小さくて済む）
・極端な例だと、昼間メインのオフィス(100VA)と夜間メインのホテル(100VA)だと、不等率は200VA/100VA=2になる。","不等率：
・不等率=個々の需要家の最大需要電力の合計/合成した合成需要電力
・不等率は、必ず1以上になる。
・系統内での、負荷の偏りを示す。値が大きいと効率的に電気が使えてる。（設備容量が小さくて済む）
・極端な例だと、昼間メインのオフィス(100VA)と夜間メインのホテル(100VA)だと、不等率は200VA/100VA=2になる。"
"単相：電灯幹線（電灯・コンセント用）
三相：動力幹線（電動機(モーター)用）","単相：電灯幹線（電灯・コンセント用）
三相：動力幹線（電動機(モーター)用）"
"力率：
・力率(%)=有効電力/皮相電力x100
・電動機や蛍光ランプ等:0.6～0.8程度
・白熱電球や電熱器：1.0程度","力率：
・力率(%)=有効電力/皮相電力x100
・電動機や蛍光ランプ等:0.6～0.8程度
・白熱電球や電熱器：1.0程度"
"進相コンデンサ
・力率を改善するために用いられる。",
"・幹線：電気室から分電盤（ブレーカ）までの配線
・分岐回路：分電盤から先の配線","・幹線：電気室から分電盤（ブレーカ）までの配線
・分岐回路：分電盤から先の配線"
"電圧降下のポイント
電線の長さが60m以下の場合の電圧降下は以下のとおり。
・幹線：3％以下
・分岐回路：2％以下","電圧降下のポイント
電線の長さが60m以下の場合の電圧降下は以下のとおり。
・幹線：3％以下
・分岐回路：2％以下"
"・電源設備
主幹遮断機：
漏電遮断器：微弱な漏電を検知し、回路を遮断する。（主幹遮断機の直下に配置）
配線用遮断器：配線の許容電流を超える過電流が生じた際、回路を遮断する。","・電源設備
主幹遮断機：
漏電遮断器：微弱な漏電を検知し、回路を遮断する。（主幹遮断機の直下に配置）
配線用遮断器：配線の許容電流を超える過電流が生じた際、回路を遮断する。"
"太陽光発電：
・結晶シリコン系：
発電効率：高い
コスト：高い
・薄膜シリコン系：
発電効率：低い。
コスト：安い。
・ペロブスカイト（次世代型）：
発電効率：中。
コスト：安い
軽量・柔軟性あり。","太陽光発電：
・結晶シリコン系：
発電効率：高い
コスト：高い
・薄膜シリコン系：
発電効率：低い。
コスト：安い。
・ペロブスカイト（次世代型）：
発電効率：中。
コスト：安い
軽量・柔軟性あり。"
■配線工事,■配線工事
"・配線種類
IV線","・配線種類
IV線"
"・ケーブル種類
VVF","・ケーブル種類
VVF"
"電線管、合成樹脂管種類
・電線管
・VE管
・PF管：耐燃性、自己消火性があり、使用場所に制限がない。コンクリ埋設もOK。
・CD管：可燃性のため、コンクリート埋設専用。
・FEP管","・電線管、合成樹脂管種類
電線管
VE管
PF管：耐燃性、自己消火性があり、使用場所に制限がない。コンクリ埋設もOK。
CD管：可燃性のため、コンクリート埋設専用。
FEP管"
"PF管、CD管のコンクリ埋設時のポイント
・平行鉄筋、配管との離隔：30mm以上
・結束間隔：1m以下
・",
"配管の区画貫通処理
・区画貫通部の前後1mを不燃材
・硬質ポリ塩化ビニル管が一定サイズ以下
・大臣認定工法","配管の区画貫通処理
・区画貫通部の前後1mを不燃材
・硬質ポリ塩化ビニル管が一定サイズ以下
・大臣認定工法"
"・ケーブルラック
ケーブルラックには、絶縁電線を敷設するこは出来ない。（名前の通りケーブル用なので）","・ケーブルラック
ケーブルラックには、絶縁電線を敷設するこは出来ない。（名前の通りケーブル用なので）"
"地中電線路の土被り（not水系配管）
・車両その他の重量物の圧力を受けるおそれのある場所：1.2m以上
・その他の場所：0.6m以上","地中電線路の土被り
・車両その他の重量物の圧力を受けるおそれのある場所：1.2m以上
・その他の場所：0.6m以上"
"バスダクト
・最大許容電流が大きく、過電源に対する強度が優れている
・大規模な建物や工場などの大容量の電力供給、幹線等に用いられる","バスダクト
・最大許容電流が大きく、過電源に対する強度が優れている
・大規模な建物や工場などの大容量の電力供給、幹線等に用いられる"
【012電気設備②避雷針・昇降機・照明】,【012電気設備②避雷針・昇降機・照明】
■避雷針・接地設備,■避雷針・接地設備
"避雷設備
・高さ20mを超える建物には、原則、避雷設備を設ける","避雷設備
・高さ20mを超える建物には、原則、避雷設備を設ける"
"避雷設備の構成
・受雷部
・引き下げ導線
・設置","避雷設備の構成
・受雷部
・引き下げ導線
・設置"
"受雷部の保護レベル
・保護レベルⅠ：弱い。
・保護レベルⅡ：
・保護レベルⅢ：
・保護レベルⅣ：強い。","受雷部の保護レベル
・保護レベルⅠ：弱い。
・保護レベルⅡ：
・保護レベルⅢ：
・保護レベルⅣ：強い。"
"内部雷保護システム
・雷サージ保護装置（SPD）","内部雷保護システム
・雷サージ保護装置（SPD）"
■昇降機設備,■昇降機設備
"エレベーターの計画
・バンクは10～15階程度で区切る
・サービスの異なるバンクは、互いに独立した配置とする。",
"エレベーターの種類
・荷物用エレベーター：荷扱者又は運転者以外の人の利用はできない。
・人荷用エレベーター：一般乗客も利用することができる。
・マシンレスエレベーター：昇降路内に巻き上げ機を設置することで、エレベーター機械室が不要。
・ダブルデッキエレベーター：2階建てのエレベーター籠によって奇数階と偶数階と同時に乗客の輸送が可能。例)六本木ヒルズ",
"非常用エレベーター
・非常用エレベーターには、消防活動のために、かごの戸を開いたままかごを昇降させることができる装置を設ける必要
・非常用エレベーターの乗降ロビーの必要面積：1基につき10m2以上。（消防隊が消火活動拠点として利用）",
"地震時管制運転
・地震時に、速やかに最寄階に停止
（いち早くエレベーターを停止するため）","地震時管制運転
・地震時に、速やかに最寄階に停止
（いち早くエレベーターを停止するため）"
"火災時管制運転
・火災時に、速やかに避難階に停止
（いち早く避難させるため）","火災時管制運転
・火災時に、速やかに避難階に停止
（いち早く避難させるため）"
・エスカレーターの種類,・エスカレーターの種類
"エスカレーター
・エスカレーターの勾配：原則30度以下
※ただし、高さ6m以下、階段奥行35cm以上、速度30m/分以下（勾配30超～35度）はOK。
・エスカレーターの速度：
・50m/分以下（勾配8度以下）
・45m/分以下（勾配8度～30度）
・30m/分以下（勾配30超～35度）
（建築基準法施行令129条の12）",
エスカレーターの乗降口において、ハンドレールの折返し部の先端から2m以内に防火シャッターが設置されている場合には、当該シャッターの作動と連動してエスカレーターを停止させる装置を設ける必要,
"S600形
　ステップ（踏段）の幅・・・約600mm
　手すりの中心間距離・・・・約800mm
　一つのステップに1人乗り","S600形
　ステップ（踏段）の幅・・・約600mm
　手すりの中心間距離・・・・約800mm
　一つのステップに1人乗り"
"S1000形
　ステップ（踏段）の幅・・・約1000mm
　手すりの中心間距離・・・・約1200mm
　一つのステップに2人乗り","S1000形
　ステップ（踏段）の幅・・・約1000mm
　手すりの中心間距離・・・・約1200mm
　一つのステップに2人乗り"
【013防災設備】,【013防災設備】
"消防用設備等の種類

消火設備
・消火器、簡易消火用具（水バケツ、水槽、乾燥砂）
・膨張ひる石又は膨張真珠岩
・屋内消火栓設備
・スプリンクラー設備
・水噴霧消火設備
・泡消火設備
・不活性ガス消火設備
・ハロゲン化物消火設備
・粉末消火設備
・屋外消火栓設備
・動力消防ポンプ設備","消火設備の種類
・屋内消火栓設備
・スプリンクラー設備
・水噴霧消火設備
・二酸化炭素消火設備
・粉末消火設備"
"消防用設備等の種類

警報設備
・自動火災報知設備、ガス漏れ火災警報設備
・漏電火災警報器
・消防機関へ通報する火災報知設備
・警鐘、携帯用拡声器、手動式サイレンその他の非常警報器具及び次に掲げる非常警報設備
・非常ベル
・自動式サイレン
・放送設備",
"消防用設備等の種類

避難設備
・すべり台、避難はしご、救助袋、緩降機、避難橋その他の避難器具
・誘導灯及び誘導標識",
"消防用設備等の種類

消防用水：防火水槽、貯水池、その他の用水",
"消防用設備等の種類

消防活動上必要な施設
・排煙設備（いわゆる消防排煙）
・連結散水設備
・連結送水管
・非常コンセント設備
・無線通信補助設備",
"屋内消火栓の種類
・1号消火栓：
平型ホース、
警戒半径25m以下、
放水量130L/分、
水源2.6m3以上","屋内消火栓の種類
・1号消火栓：
平型ホース、
警戒半径25m以下、
放水量130L/分、
水源2.6m3以上"
"屋内消火栓の種類
・易操作性1号消火栓：
保形ホース、
警戒半径25m以下、
放水量130L/分、
水源2.6m3以上","屋内消火栓の種類
・易操作性1号消火栓：
保形ホース、
警戒半径25m以下、
放水量130L/分、
水源2.6m3以上"
"屋内消火栓の種類
・2号型消火栓：
保形ホース、
警戒半径15m以下、
放水量60L/分、
水源1.2m3以上","屋内消火栓の種類
・2号型消火栓：
保形ホース、
警戒半径15m以下、
放水量60L/分、
水源1.2m3以上"
"屋内消火栓の種類
・広範囲型2号消火栓 ：
保形ホース、
警戒半径25m以下、
放水量80L/分、
水源1.6m3以上","屋内消火栓の種類
・広範囲型2号消火栓 ：
保形ホース、
警戒半径25m以下、
放水量80L/分、
水源1.6m3以上"
"スプリンクラーヘッドの種類
・閉鎖式ヘッド
　　閉鎖型湿式：一般的
　　閉鎖型乾式：寒冷地等で、水が凍らないようにヘッドの直前は圧縮空気
　　閉鎖型予作動式：サーバー室等、誤作動防止のためヘッドと火災感知器が連動してはじめて散水
・開放型ヘッド：劇場の舞台部など、一斉開放弁が火災感知器または手動で開かれると散水
・放水型ヘッド：高天井などで採用される。","スプリンクラーヘッドの種類
・閉鎖式ヘッド
　　閉鎖型湿式：一般的
　　閉鎖型乾式：寒冷地等で、水が凍らないようにヘッドの直前は圧縮空気
　　閉鎖型予作動式：サーバー室等、誤作動防止のためヘッドと火災感知器が連動してはじめて散水
・開放型ヘッド：劇場の舞台部など、一斉開放弁が火災感知器または手動で開かれると散水
・放水型ヘッド：高天井などで採用される。"
"連結送水管
・高層階（3階以上）と地下街が対象","連結送水管
・高層階（3階以上）と地下街が対象"
"連結散水設備
連結散水設備とは火災時により煙が充満し、火元の確認や消火活動が困難である地階における消防隊の本格消火のための設備","連結散水設備
・地階が対象"
"泡消火設備
・泡消火設備は火災場所を泡で覆うことによる窒息作用と冷却作用によって、消火を行う設備でおもに油火災に対して有効",
,
,
,
,
"排煙設備の種類
・自然排煙方式
・機械排煙方式","排煙設備の種類
・自然排煙方式
・機械排煙方式"
"煙の流動速度
①煙の水平方向の流動速度　約0.5～1.0m/s
②煙の垂直方向の流動速度　約3～5m/s","煙の流動速度
①煙の水平方向の流動速度　約0.5～1.0m/s
②煙の垂直方向の流動速度　約3～5m/s"
"自然排煙と機械排煙の隣接

・防煙垂れ壁を介して、自然排煙と機械排煙を隣接させることはNG。
・防煙シャッターなどで区画する必要がある。
・機械排煙が、自然排煙を阻害してしまうため。","自然排煙と機械排煙の隣接

・防煙垂れ壁を介して、自然排煙と機械排煙を隣接させることはNG。
・防煙シャッターなどで区画する必要がある。
・機械排煙が、自然排煙を阻害してしまうため。"
"初期火災
　煙層の厚さや降下する速度は
　火源の面積に支配される。
　これを「燃料支配の火災」という。","初期火災
　煙層の厚さや降下する速度は
　火源の面積に支配される。
　これを「燃料支配の火災」という。"
"盛期火災
　燃焼の継続は
　開口部から流入する空気量に支配される。
　これを「換気支配の火災」という。","盛期火災
　燃焼の継続は
　開口部から流入する空気量に支配される。
　これを「換気支配の火災」という。"
"ガス漏れ検知器：
・都市ガス：水平8m以内、天井面30cm以内に設置。
・プロパンガス：水平4m以内、床面30cm以内に設置。","ガス漏れ検知器：
・都市ガス：水平8m以内、天井面30cm以内に設置。
・プロパンガス：水平4m以内、床面30cm以内に設置。"
"非常照明：
・非常照明の必要照度：1lx以上
・ただしLED、蛍光灯の照度：2lx以上（温度上昇による照度低下を見越して）
・劇場などの足元照明の照度：0.2lx以上。","非常照明：
・非常照明の必要照度：1lx以上
・ただしLED、蛍光灯の照度：2lx以上（温度上昇による照度低下を見越して）
・劇場などの足元照明の照度：0.2lx以上。"
・防災計画,・防災計画
避難安全検証法,避難安全検証法
【014環境性能・省エネ】,【014環境性能・省エネ】
・環境性能,・環境性能
"・一時エネルギー消費量：自然界に存在するままの形でエネルギー源(原油、石炭、太陽光等)の消費量。
・二次エネルギー消費量：一次エネルギーを加工したもの(ガソリン、都市ガス、電気等)の消費量。
エネルギー変換効率やエネルギーの種類の観点により、一次エネルギー消費量の方が多くなる。",
地球温暖化係数：二酸化炭素が基準,地球温暖化係数：二酸化炭素が基準
"オゾン層破壊係数：CFC-11（指定フロンの一種）が基準
「冷凍機に使用される代替フロン（HFC）は、オゾン層の破壊防止については効果があるが、地球温暖化係数については二酸化炭素を上回っている」ということも頻出のポイント","オゾン層破壊係数：CFC-11（指定フロンの一種）が基準
「冷凍機に使用される代替フロン（HFC）は、オゾン層の破壊防止については効果があるが、地球温暖化係数については二酸化炭素を上回っている」ということも頻出のポイント"
"・設備の劣化
物理的劣化：設備の性能の低下による劣化
社会的劣化：要求性能の向上による劣化","・設備の劣化
物理的劣化：設備の性能の低下による劣化
社会的劣化：要求性能の向上による劣化"
・エネルギー管理システム,・エネルギー管理システム
"BMS（ビーエムエス：ビルディング・マネジメント・システム）は、省エネのためのデータの計測（モニタリング）と分析を行うシステムのことをいいます。具体的には、室内温湿度、空調冷温水温度・流量、電力量、水道使用量、COP（エネルギー消費係数）などなどのデータです。
このうち、環境配慮、エネルギー消費の分析を高度化したものを、BEMS（ベムス：ビルディング・エネルギー・マネジメント・システム）といいます。
さらに、住宅に関するBEMSを特にHEMS（ヘムス：ホーム・エネルギー・マネジメント・システム）といいます。","BMS（ビーエムエス：ビルディング・マネジメント・システム）は、省エネのためのデータの計測（モニタリング）と分析を行うシステムのことをいいます。具体的には、室内温湿度、空調冷温水温度・流量、電力量、水道使用量、COP（エネルギー消費係数）などなどのデータです。
このうち、環境配慮、エネルギー消費の分析を高度化したものを、BEMS（ベムス：ビルディング・エネルギー・マネジメント・システム）といいます。
さらに、住宅に関するBEMSを特にHEMS（ヘムス：ホーム・エネルギー・マネジメント・システム）といいます。"
"ZEB（ゼブ）
・基準一次エネルギー消費量から、省エネ(+創エネ)により、一定基準の削減を行った建物。(創エネのみNG)
・ZEB、NearlyZEB、ZEBReady、ZEBOriented等の基準がある。","ZEB（ゼブ）
・基準一次エネルギー消費量から、省エネ(+創エネ)により、一定基準の削減を行った建物。(創エネのみNG)
・ZEB、NearlyZEB、ZEBReady、ZEBOriented等の基準がある。"
"ZEH（ゼッチ）
・エネルギー消費量がゼロの住宅（House）。","ZEH（ゼッチ）
・エネルギー消費量がゼロの住宅（House）。"
"ゼロカーボン建築・カーボンニュートラル
・CO2排出量がゼロ。
・CO2排出権の取引、つまり、植林・森林保護等によるCO2吸収量を
　排出権として購入するカーボン・オフセット（相殺）を含む。","ゼロカーボン建築・カーボンニュートラル
・CO2排出量がゼロ。
・CO2排出権の取引、つまり、植林・森林保護等によるCO2吸収量を
　排出権として購入するカーボン・オフセット（相殺）を含む。"
"カーボンマイナス建築
・CO2吸収量がCO2排出量を上回る。","カーボンマイナス建築
・CO2吸収量がCO2排出量を上回る。"
"ゼロエミッション
・排出量ゼロ。
・広義ではあらゆる排出量がゼロ。狭義ではゴミ排出量ゼロをいうことが多い","ゼロエミッション
・排出量ゼロ。
・広義ではあらゆる排出量がゼロ。狭義ではゴミ排出量ゼロをいうことが多い"
"アクティブ型省エネ
・熱の移動にポンプやファンなどの機械力を使用し、作動にエネルギーを必要とするシステム
・LED照明も含む","アクティブ型省エネ
・熱の移動にポンプやファンなどの機械力を使用し、作動にエネルギーを必要とするシステム
・LED照明も含む"
"パッシブ型省エネ
・機械力を使わずに、建築物自体の工夫によって熱の移動を自然に制御し、暖かさ、涼しさの効果を得るシステム。
・外皮の断熱強化、煙突効果を利用したエコボイド換気など","パッシブ型省エネ
・機械力を使わずに、建築物自体の工夫によって熱の移動を自然に制御し、暖かさ、涼しさの効果を得るシステム。
・外皮の断熱強化、煙突効果を利用したエコボイド換気など"
"環境性能評価認証
・CASBEE(国内)：BEE値が3.0以上の場合の評価は「S」、以下A、B+、B-、Cの5ランク。
・BELS(国内)：省エネに特化。星5~1で評価。BEI値が小さい程、省エネルギー性が高い。
・LEED(米国)：46の評価項目で評価し最大110ポイント。合計80ポイント以上で「プラチナ」、以下、ゴールド、シルバー、サーティファイドの4ランク。
・BREEAM（英国）：世界で最初の環境価値評価システム。評価項目には10のカテゴリー。5段階評価。最高は「Outstanding」。","環境性能評価認証
・CASBEE(国内)：BEE値が3.0以上の場合の評価は「S」、以下A、B+、B-、Cの5ランク。
・BELS(国内)：省エネに特化。星5~1で評価。
・LEED(米国)：46の評価項目で評価し最大110ポイント。合計80ポイント以上で「プラチナ」、以下、ゴールド、シルバー、サーティファイドの4ランク。
・BREEAM（英国）：世界で最初の環境価値評価システム。評価項目には10のカテゴリー。5段階評価。最高は「Outstanding」。"
"環境性能指標
・BEI値：
BEI（ Building Energy Index ）」は、値が小さいほど建築物の省エネルギー性能が高い
・Pal*：
年間熱負荷係数（ PAL*:パルスター ）は、値が小さいほど建築物の外皮の熱性能が高い。
ペリメータゾーンの床面積におけるペリメータゾーンの年間熱負荷の割合で算出。
・UA値：
UA値（外皮平均熱貫流率）は、住宅の断熱性能を表す指標で、屋根・外壁・床・窓から逃げる熱量の合計を外皮面積で割った値。
・C値：
C値は住宅の隙間面積を床面積で割った、家の気密性を示す指標です。値が低いほど隙間が少ない。",
ク○○/ヒ○○チューブ：地中温度が一定なのを利用。地中に外気取り入れチューブ配置した、地中熱を利用した省エネ技術。,ク○○/ヒ○○チューブ：地中温度が一定なのを利用。地中に外気取り入れチューブ配置した、地中熱を利用した省エネ技術。
"ナイトパージ：
・外気温が低下する夜間に自然通風を図り、居住者に涼感を与えるとともに、室内の蓄熱体の温度を下げ、翌日の室温上昇を抑える方式",
"パッシブクーリング
自然エネルギーを利用し冷房効果を得る方法。
日射熱を遮蔽し、通風を確保することが有効となります",
"躯体蓄熱
コンクリート躯体を蓄熱体として利用するためには、「外断熱とすること」、「開口部からの日射を直接コンクリート躯体に当てること」、「コンクリート躯体を直接室内に露出させること」等が有効である。",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
