■日本の独立住宅,,■日本の独立住宅,
国の重要文化財に指定された建築物であり、重要文化財特別型特定街区制度を適用して超高層ビルと一体的に再生され、現在でも銀行やオフィスビルとして利用されている。 ,三井,三井本館(東京都),
国の重要文化財の指定を受けて、使い勝手を向上させながら耐震補強等の改修がなされ、現在では結婚式やパーティーにも利用されている。 ,自由,自由学園明日館(みょうにちかん)(東京都)：フランク・ロイド・ライト,
辰野金吾が設計した赤レンガのファサードをもつ駅舎であり、特例容積率適用区域制度を適用して未利用容積を別の敷地に売却して事業費を捻出し、戦災により焼失した部分の復元を行っている。 ,東京,東京駅丸の内駅舎：辰野金吾,
新たに建てられた商業施設と集合住宅の複合施設「表参道ヒルズ」は、安藤忠雄氏の設計です。その一部の「同潤館」ブロックは、同潤会青山アパートの外観を再現したものになっています。 ,同潤,同潤会青山アパート,
平安博物館として使用されていた旧日本銀行京都支店を、竣工時の姿に復元し、整備したものである。 ,京都,京都文化博物館別館,
明治時代末期から大正時代初期に建築された煉瓦造の倉庫を改修し、文化施設、商業施設として整備したものである。 ,横浜,横浜赤レンガ倉庫,
門司港駅前に広がる明治・大正時代に国際貿易港として栄えた門司港地区の歴史的建造物の修復・復元等を通して、地域の活性化を目的としている。 ,門司,門司港レトロ地区,
免震レトロフィット工法を採用し、竣工時の形を損なうことなく地震に対する安全性を高めている。 ,国立,国立西洋美術館本館：ル・コルビュジェ,
明治時代に建てられた旧帝国図書館を、ガラスボックスなどによる増築、国内初の組積造免震レトロフィット工法の採用などにより、再生・利活用したものである。 ,国立,国立国会図書館・国際子ども図書館(東京都),
明治9年に開設されたビール工場の煉瓦造（れんがづくり）の建築群を保存、再生し、それらを大きなアトリウムや地下通路等で結び付けて複合商業施設としたものである。 ,サッ,サッポロファクトリー(北海道),
連続するのこぎり屋根をもつ平家建ての紡績工場の棟の一部を撤去してできたオープンスペースを中心として、展示施設、ホテル等からなる複合施設にしたものである。 ,倉敷,倉敷アイビースクエア(岡山県倉敷市),
琉球地方独自の文化遺産として2000年にユネスコの世界遺産に登録されている。 ,今帰,今帰仁城跡(なきじんじょう)・首里城跡(しゅりじょう)(沖縄県),
明治時代に近衛師団司令部本館として建てられたレンガ造2階建の建築物を美術館の工芸館として再生したものである。 ,東京,東京国立近代美術館工芸館(東京都千代田区),国立工芸館(東京国立近代美術館工芸館)は、2020年10月に石川県金沢市に移転。
明治時代後期に建てられた木造の「旧陸軍第九師団司令部庁舎」と「旧陸軍金沢偕行社（かいこうしゃ）」を移築、活用し、美術館の工芸館として再生したものである。 ,国立,国立工芸館(石川県),
図書館をギャラリー等からなる芸術文化の複合施設にしたものである。磯崎新氏が設計した大分県立図書館を再生したもの 。 ,アー,アートプラザ(大分県)：磯崎新,
瓦屋根と漆喰（しっくい）壁による純日本風の木造平屋建ての駅舎である。 ,旧大,旧大社駅舎(島根県出雲市),
多世代の居住者が暮らす新たな街に生まれ変わらせる団地再生事業の一つとして、民間事業者が改修工事を行い、団地の一部の住棟をシェアハウスとして再生した。 ,りえ,りえんと多摩平(たまだいら)：設計 都市再生機構(UR都市機構)＋ブルースタジオ,
大正15 年に建築された学生寮を「定期借地権＋コーポラティブ方式」により共同で土地を借り受け、個々に好みの注文を付加しながら造る集合住宅として改修・再生したものである。 ,求道,求道學舎(きゅうどうがくしゃ)(東京都文京区)：改修設計 集工舎建築都市デザイン研究所,
1970年代に建設された工場を、プレキャスト鉄筋コンクリート部材のアウトフレームを用いて耐震改修し、庁舎へ再生させたものである。 ,山梨,山梨市庁舎東棟,
大正から昭和初期に建設された紡績工場の倉庫6棟を改修し、工房、レストラン、オープンスペース等から構成される芸術文化施設へ再生させたものである。 ,金沢,金沢市民芸術村,
民間企業の本社屋として建築された建築物を、耐震補強、設備改修等を行ったうえで、庁舎として再生・転用したものである。 元設計は村野藤吾氏 ,目黒,目黒区総合庁舎,
20世紀初頭に閉鎖された精錬所の遺構を活用し、自然エネルギーを積極的に利用した美術館として保存・再生させたものである。 ,犬島,犬島精錬所美術館(いぬじま)：三分一博志(さんぶいち ひろし),
廃校になった中学校を、アートギャラリーを含む文化施設等として保存・再生させたものである。 ,33,3331ArtsChiyoda：改修設計 佐藤慎也＋メジロスタジオ,
坂倉準三が設計した神奈川県立近代美術館鎌倉館を耐震補強等を行ったうえで、博物館として整備したものである。 ,鎌倉,鎌倉文華館鶴岡ミュージアム(ぶんかかん)：改修設計 丹青研究所、坂倉建築研究所,
百貨店を転用したもので、既存エスカレーターをそのまま活用し、売り場は執務スペースへ、映画館は議場へと改修された。 ,石巻,石巻市庁舎,
民間から購入したテナントビルを本庁舎として改修したもので、回廊状のショッピングモールであった1、2階は区民窓口に、フィットネスクラブが想定されていた最上階は議場等に変更されている。 ,大田,大田区役所本庁舎(東京都大田区),
昭和初期に銀行として建設された既存建築物全体を新築の建築物で覆う「鞘堂（さやどう）」という日本古来の方式により整備したものである。 ,千葉,千葉市美術館(千葉県千葉市),
昭和 30 年代に建設された既存建築物を保存し、意匠的な要素を再現しながら、増築と一部建て替えを行うことで、機能拡充が図られたものである。 ,ロー,ロームシアター京都：基本設計者・監修者 香山壽夫(こうやま ひさお),
■外国の歴史的建造物の保存・再生,,■外国の歴史的建造物の保存・再生,
イギリス。複数の産業・土木遺構を現地で再生して展示し、環境教育の場としている。 ,アイ,アイアンブリッジ渓谷博物館(イギリス),
鉄道の駅舎を印象派の作品を中心とする美術館へ再生させたものである。 ,オル,オルセー美術館(フランス)：改修設計 ガエ・アウレンティ、ジャン＝ミシェル・ヴィルモット、ドミニク・ブラール,
第二次世界大戦後の復興時に建設された火力発電所をモダンアートの美術館へ再生させたものである。 ,テイ,テイト・モダン(イギリス)：改修設計 ヘルツォーク＆ド・ムーロン,
巨大な自動車工場を、見本市会場、音楽ホール、ホテル、会議場等からなる複合施設にしたものである。 ,リン,リンゴット工場再開発(イタリア・トリノ)：改修設計 レンゾピアノ,
歴史的建造物であった古城を市立美術館へ再生させたものである。 ,カス,カステルヴェッキオ美術館(イタリア)：改修設計 カルロ・スカルパ,
1980年に廃線となった貨物列車用の高架線路上を緑道や公園へ再生させたものである。 ,ハイ,ハイライン(アメリカ ニューヨーク),
港湾施設として使用されていたサイロを改修し、集合住宅へ再生させたものである。 ,ジェ,ジェミニ・レジデンス(デンマーク コペンハーゲン)：改修設計 MVRDV,
